idx,group,category,expected,noul,dec@0.30,dec@0.50,dec@0.70,title
1,fixture,good_clear,pass,0.8400,pass,pass,pass,"Will Yankees win this matchup?"
2,fixture,good_clear,pass,0.8300,pass,pass,pass,"Will Red Sox win this matchup?"
3,fixture,good_clear,pass,0.7600,pass,pass,pass,"Will Lakers win this matchup?"
4,fixture,good_clear,pass,0.7500,pass,pass,pass,"Will Liverpool win this matchup?"
5,fixture,good_clear,pass,0.7100,pass,pass,pass,"Will Real Madrid win this matchup?"
6,fixture,good_clear,pass,0.4800,pass,reject,reject,"Will Dodgers win this matchup?"
7,fixture,good_clear,pass,0.3500,pass,reject,reject,"Will Warriors win this matchup?"
8,fixture,good_clear,pass,0.6500,pass,pass,reject,"Will Manchester United win this matchup?"
9,fixture,good_clear,pass,0.8700,pass,pass,pass,"Will Yankees over Boston win this matchup?"
10,fixture,good_clear,pass,0.8900,pass,pass,pass,"Will Mariners over Detroit win this matchup?"
11,fixture,good_multi,pass,0.7500,pass,pass,pass,"Will Bitcoin price > $100,000 by deadline?"
12,fixture,good_multi,pass,0.3200,pass,reject,reject,"Will SPX close > 6,000 by deadline?"
13,fixture,good_multi,pass,0.6400,pass,pass,reject,"Will Apple stock close > $200 by deadline?"
14,fixture,good_multi,pass,0.5500,pass,pass,reject,"Will USDT/USD remain >= 0.99 by deadline?"
15,fixture,good_multi,pass,0.3700,pass,reject,reject,"Will gold spot > $2,500/oz by deadline?"
16,fixture,good_multi,pass,0.6600,pass,pass,reject,"Will ETH price > $4,000 by deadline?"
17,fixture,good_multi,pass,0.6500,pass,pass,reject,"Will Tesla close > $250 by deadline?"
18,fixture,good_multi,pass,0.7100,pass,pass,pass,"Will SOL > $200 by deadline?"
19,fixture,good_multi,pass,0.3800,pass,reject,reject,"Will Polymarket trade volume > $1M today?"
20,fixture,good_multi,pass,0.3400,pass,reject,reject,"Will USD/JPY < 150 by deadline?"
21,fixture,good_edge,pass,0.8500,pass,pass,pass,"Will Chiefs score >= 28 points in next game?"
22,fixture,good_edge,pass,0.8400,pass,pass,pass,"Will Knicks score >= 100 points in next game?"
